embedding_model,lambda_idx,cost,performance
all_mpnet_base,70,505.75328382305463,0.7131498224087827
all_mpnet_base,71,493.0160332579915,0.712391023571198
all_mpnet_base,72,483.3902567000323,0.7115999354213755
all_mpnet_base,73,473.96497901194704,0.711099451081692
all_mpnet_base,74,464.7032466903455,0.710631256054246
all_mpnet_base,75,456.3446641911527,0.7104859541491766
all_mpnet_base,76,448.4917307071359,0.7102437843073942
all_mpnet_base,77,436.98959154020014,0.7092266709719084
all_mpnet_base,78,425.69589602841455,0.7084517274782046
all_mpnet_base,79,420.6157684856313,0.7079835324507586
all_mpnet_base,80,408.9308782692929,0.7072893122376495
all_mpnet_base,81,397.63683403293504,0.7062076202776881
all_mpnet_base,82,391.9793283823054,0.7056425573135292
all_mpnet_base,83,387.1128818211172,0.7053519535033903
all_mpnet_base,84,376.85752986761383,0.704738456570875
all_mpnet_base,85,367.788664836939,0.7040280917016467
all_mpnet_base,86,361.38864061995486,0.7036083306425572
all_mpnet_base,87,357.1266047788182,0.7035921859864385
all_mpnet_base,88,351.23100258314497,0.703915079108815
all_mpnet_base,89,343.0539845011301,0.7036244752986761
all_mpnet_base,90,333.70593154665806,0.7029948337100419
all_mpnet_base,91,330.0977397481434,0.7024620600581206
all_mpnet_base,92,322.30502583144977,0.702211817888279
all_mpnet_base,93,316.3568856958347,0.701662899580239
all_mpnet_base,94,312.2925976751695,0.7017920568291897
all_mpnet_base,95,306.35091540200193,0.701566031643526
all_mpnet_base,96,301.7483629318695,0.7012592831772684
all_mpnet_base,97,297.0999273490475,0.7009041007426541
all_mpnet_base,98,293.4165563448498,0.7005327736519212
all_mpnet_base,99,289.33698094930577,0.6997416855020988
