method,lambda,cost,performance
CoRE,3.3333333333333335e-05,1626.636567646109,0.781401356151114
CARROT-Linear,3.3333333333333335e-05,1789.6162738133676,0.7768485631256055
MIRT,3.3333333333333335e-05,1553.3204552793027,0.768421052631579
CoRE,3.434343434343434e-05,1607.5486761381983,0.7810461737164998
CARROT-Linear,3.434343434343434e-05,1762.6838230545688,0.7761381982563771
MIRT,3.434343434343434e-05,1527.869405876655,0.7665967064901518
CoRE,3.535353535353535e-05,1585.6721504681952,0.7812560542460446
CARROT-Linear,3.535353535353535e-05,1740.4856958346784,0.775234097513723
MIRT,3.535353535353535e-05,1499.1528898934453,0.764740071036487
CoRE,3.6363636363636364e-05,1570.327171456248,0.7807232805941233
CARROT-Linear,3.6363636363636364e-05,1712.0623264449468,0.7738133677752664
MIRT,3.6363636363636364e-05,1476.80324507588,0.7634969325153375
CoRE,3.7373737373737376e-05,1552.4681385211495,0.7799644817565387
CARROT-Linear,3.7373737373737376e-05,1691.4836373910236,0.7734581853406522
MIRT,3.7373737373737376e-05,1453.3865272844687,0.7624152405553762
CoRE,3.838383838383838e-05,1529.8457781724248,0.7790603810138844
CARROT-Linear,3.838383838383838e-05,1665.3295124313852,0.772376493380691
MIRT,3.838383838383838e-05,1433.4579189538263,0.7604617371649985
CoRE,3.939393939393939e-05,1508.143986115596,0.7785760413303197
CARROT-Linear,3.939393939393939e-05,1643.880150145302,0.7715692605747496
MIRT,3.939393939393939e-05,1408.2369147562156,0.7590571520826607
CoRE,4.0404040404040405e-05,1490.700460122699,0.7771068776235067
CARROT-Linear,4.0404040404040405e-05,1623.4004843396835,0.7711010655473038
MIRT,4.0404040404040405e-05,1374.441031643526,0.7575879883758476
CoRE,4.141414141414141e-05,1469.4481191475622,0.7756700032289312
CARROT-Linear,4.141414141414141e-05,1603.8188811753307,0.7710203422667097
MIRT,4.141414141414141e-05,1348.1314255731354,0.7550209880529545
CoRE,4.242424242424242e-05,1456.2796900226024,0.7753793994187925
CARROT-Linear,4.242424242424242e-05,1587.483257991605,0.7701000968679367
MIRT,4.242424242424242e-05,1327.2382789796577,0.7534711010655473
CoRE,4.3434343434343435e-05,1441.234807878592,0.7740555376170487
CARROT-Linear,4.3434343434343435e-05,1571.422457216661,0.7691798514691638
MIRT,4.3434343434343435e-05,1295.525678075557,0.751000968679367
CoRE,4.4444444444444447e-05,1427.0020019373585,0.7732805941233453
CARROT-Linear,4.4444444444444447e-05,1553.8182515337423,0.7697772037455602
MIRT,4.4444444444444447e-05,1270.4888844042623,0.7494349370358412
CoRE,4.545454545454545e-05,1409.5674200839521,0.7723119147562156
CARROT-Linear,4.545454545454545e-05,1532.3939215369712,0.7695027445915402
MIRT,4.545454545454545e-05,1240.1977316758152,0.747158540523087
CoRE,4.6464646464646464e-05,1389.231247981918,0.7712463674523733
